| dominio                           | documento           | adm_handle | tec_handle | cob_handle | ticket   | data_cadastro       | ultima_atualizacao  |
| forumsocinfo.gov.br               | 033.683.111/0001-07 | GSISE      | GSISE      | GSISE      |  1882454 | 2004-11-11 12:43:46 | 2020-06-08 16:03:21 |
| frameworkdemoiselle.gov.br        | 033.683.111/0001-07 | GSISE      | GSISE      | GSISE      |  5134631 | 2009-01-12 13:08:00 | 2020-06-08 16:36:26 |
| frp.gov.br                        | 033.868.639/0001-42 | SEGDI7     | SEGDI7     | ARA11      |    32360 | 1997-03-06 12:00:00 | 2020-05-05 20:44:21 |
| funag.gov.br                      | 000.662.197/0001-24 | TFSFO2     | TFSFO2     | TFSFO2     |    98256 | 1998-05-21 20:01:01 | 2017-12-06 20:29:33 |
| funai.gov.br                      | 000.059.311/0001-26 | FNF2       | FNF2       | FNF2       |    83785 | 1998-02-10 13:07:35 | 2017-07-28 02:47:17 |
| funarte.gov.br                    | 026.963.660/0002-42 | MALCO302   | ROLMA12    | ROLMA12    |    49537 | 1997-07-31 12:00:00 | 2022-12-13 22:13:24 |
| funasa-sc.gov.br                  | 000.489.828/0001-55 | CGSTM2     | CGSTM2     | CGSTM2     | 24944209 | 2022-08-24 12:16:08 | 2023-05-11 19:06:29 |
| funasa.gov.br                     | 026.989.350/0001-16 | AWPSA7     | AWPSA7     | AWPSA7     |   348663 | 2000-05-31 19:14:41 | 2022-07-20 16:43:29 |
| fundacentro-ba.gov.br             | 000.489.828/0001-55 | CGSTM2     | CGSTM2     | CGSTM2     | 24944210 | 2022-08-24 12:16:08 | 2023-05-11 19:06:29 |
| fundacentro-es.gov.br             | 000.489.828/0001-55 | CGSTM2     | CGSTM2     | CGSTM2     | 24944211 | 2022-08-24 12:16:08 | 2023-05-11 19:06:29 |
| fundacentro-pe.gov.br             | 000.489.828/0001-55 | CGSTM2     | CGSTM2     | CGSTM2     | 24944213 | 2022-08-24 12:16:08 | 2023-05-11 19:06:29 |
| fundacentro.gov.br                | 062.428.073/0001-36 | DIANJ18    | DIANJ18    | DIANJ18    |    29635 | 1997-02-03 11:00:00 | 2018-03-28 10:52:13 |
| fundacentroms.gov.br              | 000.489.828/0001-55 | CGSTM2     | CGSTM2     | CGSTM2     | 24944212 | 2022-08-24 12:16:08 | 2023-05-11 19:06:29 |
| fundacentrorj.gov.br              | 000.489.828/0001-55 | CGSTM2     | CGSTM2     | CGSTM2     | 24944214 | 2022-08-24 12:16:08 | 2023-05-11 19:06:29 |
| fundaj.gov.br                     | 009.773.169/0001-59 | JOFRO22    | JOFRO22    | JOFRO22    |        0 | 1995-06-30 12:00:00 | 2020-04-20 14:18:21 |
| fundoamazonia-bndes.gov.br        | 033.657.248/0001-89 | GGT13      | GGT13      | GGT13      |  5310031 | 2009-03-17 14:38:39 | 2014-02-13 23:15:28 |
| fundoamazonia.gov.br              | 033.657.248/0001-89 | GGT13      | GGT13      | GGT13      |  5352022 | 2009-03-17 14:54:06 | 2014-02-27 23:18:04 |
| funpresp-exe.gov.br               | 017.312.597/0001-02 | ELBCH      | ALCAL357   | GETFU      | 11875499 | 2013-09-05 18:03:50 | 2020-08-06 12:30:48 |
| funpresp.gov.br                   | 017.312.597/0001-02 | ELBCH      | ALCAL357   | GETFU      | 11875493 | 2013-09-05 18:03:50 | 2020-06-22 14:53:32 |
| furnas.gov.br                     | 023.274.194/0001-19 | MAAGA559   | JPRER1     | MAAGA559   |        0 | 1995-07-05 12:00:00 | 2023-10-16 16:33:03 |
| g20.gov.br                        | 000.394.536/0006-43 | SAT7       | GSISE      | SAT7       | 26888670 | 2023-10-18 11:52:50 | 2023-11-08 20:47:31 |
| gastospublicos.gov.br             | 000.489.828/0001-55 | CGSTM2     | CGSTM2     | CGSTM2     | 24944215 | 2022-08-24 12:16:08 | 2023-05-11 19:06:29 |
| gcth-sida.gov.br                  | 000.489.828/0001-55 | CGSTM2     | CGSTM2     | CGSTM2     | 24944216 | 2022-08-24 12:16:08 | 2023-05-11 19:06:29 |
| gdf.gov.br                        | 003.230.476/0001-07 | STC46      | STC46      | STC46      |        0 | 1995-04-07 12:00:00 | 2019-09-03 15:30:18 |
| gdfaz.gov.br                      | 000.489.828/0001-55 | CGSTM2     | CGSTM2     | CGSTM2     | 24944217 | 2022-08-24 12:16:08 | 2023-05-11 19:06:29 |
| geipot.gov.br                     | 000.366.914/0001-70 | SECDA3     | SECDA3     | SECDA3     |    20961 | 1996-10-31 11:00:00 | 2022-04-20 21:48:52 |
| genero.gov.br                     | 000.489.828/0001-55 | CGSTM2     | CGSTM2     | CGSTM2     | 24944218 | 2022-08-24 12:16:08 | 2023-05-11 19:06:29 |
| geres.gov.br                      | 000.489.828/0001-55 | CGSTM2     | CGSTM2     | CGSTM2     | 24944219 | 2022-08-24 12:16:08 | 2023-05-11 19:06:29 |
| gesac.gov.br                      | 000.489.828/0001-55 | CGSTM2     | CGSTM2     | CGSTM2     | 24944220 | 2022-08-24 12:16:08 | 2023-05-11 19:06:29 |
| gespublica.gov.br                 | 033.683.111/0001-07 | GSISE      | GSISE      | GSISE      |  2379916 | 2005-09-26 13:13:58 | 2020-06-08 16:37:43 |
| gestao.gov.br                     | 000.394.460/0008-18 | GSISE      | GSISE      | GSISE      | 25552839 | 2023-01-05 19:04:59 | 2023-01-05 19:04:59 |
| gestaoemdestaque.gov.br           | 000.394.460/0008-18 | GSISE      | GSISE      | GSISE      | 11866076 | 2013-08-19 19:17:54 | 2021-01-12 11:25:54 |
| gestaopublica.gov.br              | 000.394.460/0008-18 | GSISE      | GSISE      | GSISE      |   451899 | 2000-10-23 17:04:11 | 2021-01-12 11:25:54 |
| gnre.gov.br                       | 033.683.111/0001-07 | GSISE      | GSISE      | GSISE      |  2050041 | 2005-04-04 18:47:26 | 2019-08-14 20:27:58 |
| go.gov.br                         | 003.517.631/0001-70 | AGP35      | AGP35      | AGP35      |        0 | 1996-06-18 12:00:00 | 2022-06-09 13:16:56 |
| goias.gov.br                      | 003.517.631/0001-70 | AGP35      | AGP35      | AGP35      |   362555 | 2000-06-12 20:19:01 | 2020-06-10 18:57:45 |
| govbankingcaixa.gov.br            | 000.360.305/0655-83 | RMJ35      | GIT60      | GIC166     |   399416 | 2000-08-04 21:17:52 | 2023-10-29 02:46:07 |
| govbrasil.gov.br                  | 000.489.828/0001-55 | CGSTM2     | CGSTM2     | CGSTM2     | 24944221 | 2022-08-24 12:16:08 | 2023-05-11 19:06:29 |
| govdata.gov.br                    | 033.683.111/0001-07 | GSISE      | GSISE      | GSISE      | 16749051 | 2017-03-17 16:40:20 | 2020-06-08 16:39:41 |
| governo.gov.br                    | 010.366.249/0001-79 | MAR79      | MAR79      | MAR79      | 15186843 | 2016-02-17 12:37:44 | 2021-04-07 19:00:54 |
| governodigital.gov.br             | 000.489.828/0001-55 | CGSTM2     | CGSTM2     | CGSTM2     | 17498166 | 2017-09-26 18:25:15 | 2020-02-01 02:39:54 |
| governoeletronico.gov.br          | 000.489.828/0001-55 | SEGDI7     | SEGDI7     | SEGDI7     |   480986 | 2000-12-11 11:56:03 | 2022-05-31 18:04:14 |
| gra.gov.br                        | 033.683.111/0009-56 | GSISE      | GSISE      | GSISE      |   408759 | 2000-08-29 17:26:49 | 2020-06-08 16:40:21 |
| gsi.gov.br                        | 009.399.736/0001-59 | GCTGS      | MAR79      | GCTGS      |  6837292 | 2010-05-10 12:53:36 | 2021-04-06 22:07:04 |
| guiadeservicos.gov.br             | 000.394.460/0008-18 | GSISE      | GSISE      | GSISE      |  9507584 | 2012-02-23 09:53:25 | 2021-01-12 11:25:54 |
| guiafacilgps.gov.br               | 000.360.305/0674-46 | RMJ35      | GIT60      | GIC166     |   399406 | 2000-08-04 21:17:53 | 2023-05-21 01:19:41 |
| hasp.gov.br                       | 000.489.828/0001-55 | CGSTM2     | CGSTM2     | CGSTM2     | 24944222 | 2022-08-24 12:16:08 | 2023-05-11 19:06:29 |
| hcl.gov.br                        | 000.489.828/0001-55 | CGSTM2     | CGSTM2     | CGSTM2     | 24944223 | 2022-08-24 12:16:08 | 2023-05-11 19:06:29 |
| hemobras.gov.br                   | 007.607.851/0001-46 | CLLJU18    | CLLJU18    | CLLJU18    |  3062780 | 2006-09-27 13:20:48 | 2022-02-28 03:49:49 |
| hgb.gov.br                        | 000.489.828/0001-55 | CGSTM2     | CGSTM2     | CGSTM2     | 24944224 | 2022-08-24 12:16:09 | 2023-05-11 19:06:29 |
| historiaeloucura.gov.br           | 033.781.055/0019-64 | YGSBA      | YGSBA      | YGSBA      | 17629165 | 2017-10-24 17:06:19 | 2020-05-27 12:30:46 |
| historiasdobrasil.gov.br          | 000.489.828/0001-55 | CGSTM2     | CGSTM2     | CGSTM2     | 24944225 | 2022-08-24 12:16:09 | 2023-05-11 19:06:29 |
| hpiedade.gov.br                   | 000.394.544/0209-68 | SEGDI7     | SEGDI7     | PSB51      |   117547 | 1998-10-02 13:50:08 | 2020-05-05 20:44:18 |
| hrps.gov.br                       | 000.394.544/0065-40 | SEGDI7     | SEGDI7     | PSB51      |   110087 | 1998-08-25 14:05:37 | 2020-05-05 20:44:16 |
| humanizaredes.gov.br              | 005.478.625/0001-87 | MDDHU      | MDDHU      | MDDHU      | 14006177 | 2015-03-30 17:35:13 | 2021-12-08 16:01:13 |
| ibama-pi.gov.br                   | 000.489.828/0001-55 | CGSTM2     | CGSTM2     | CGSTM2     | 24944227 | 2022-08-24 12:16:09 | 2023-05-11 19:06:29 |
| ibama.gov.br                      | 003.659.166/0001-02 | CLAOL231   | GSISE      | CLAOL231   |        0 | 1996-01-01 12:00:00 | 2021-02-12 23:03:54 |
| ibamanet.gov.br                   | 000.489.828/0001-55 | CGSTM2     | CGSTM2     | CGSTM2     | 24944226 | 2022-08-24 12:16:09 | 2023-05-11 19:06:29 |
| ibc.gov.br                        | 000.394.445/0272-12 | EDO124     | EDO124     | EDO124     |  1675115 | 2004-06-08 20:28:32 | 2023-06-30 23:26:37 |
| ibge.gov.br                       | 033.787.094/0001-40 | ECO        | ECO        | ECO        |        0 | 1996-01-01 12:00:00 | 2022-04-14 21:54:27 |
| ibge2.gov.br                      | 000.489.828/0001-55 | CGSTM2     | CGSTM2     | CGSTM2     | 24944228 | 2022-08-24 12:16:09 | 2023-05-11 19:06:29 |
| ibram.gov.br                      | 010.898.596/0001-42 | INBMU      | INBMU      | INBMU      |  5963433 | 2009-09-04 14:20:56 | 2021-10-08 21:37:15 |
| ic-brazil.gov.br                  | 004.822.500/0001-60 | JLCJU118   | JLCJU118   | JLCJU118   |  4101337 | 2007-12-05 18:49:00 | 2021-02-02 18:18:47 |
| icea.gov.br                       | 000.394.429/0048-74 | ADRED14    | FAVLI17    | ADRED14    |  1463809 | 2003-12-17 18:50:46 | 2018-12-19 17:53:44 |
| icmbio.gov.br                     | 008.829.974/0001-94 | CRC644     | DALSO56    | CRC644     |  3844230 | 2007-08-29 18:31:20 | 2013-04-19 12:32:12 |
| icpbrasil.gov.br                  | 004.039.532/0001-93 | JRGJU4     | MAFRA1233  | WEJNO4     |   608113 | 2001-07-23 14:08:28 | 2022-03-23 19:04:45 |
| idbrasil.gov.br                   | 000.489.828/0001-55 | CGSTM2     | CGSTM2     | CGSTM2     | 24944229 | 2022-08-24 12:16:09 | 2023-05-11 19:06:29 |
| idjovem.gov.br                    | 000.489.828/0001-55 | CGSTM2     | CGSTM2     | CGSTM2     | 24944230 | 2022-08-24 12:16:09 | 2023-05-11 19:06:29 |
| iec.gov.br                        | 000.394.544/0025-52 | CAKAH      | CAKAH      | CAKAH      | 12108828 | 2013-10-14 14:42:41 | 2013-12-04 18:33:39 |
| ien.gov.br                        | 000.402.552/0003-98 | MAWAI8     | MAWAI8     | MAWAI8     |   454275 | 2000-11-22 17:22:12 | 2010-01-19 16:52:57 |
| igam.gov.br                       | 017.387.481/0001-32 | SEGDI7     | SEGDI7     | RTN        |    89689 | 1998-03-19 19:52:46 | 2020-05-05 20:44:17 |
| igualdaderacial.gov.br            | 000.489.828/0001-55 | HULSI85    | HULSI85    | HULSI85    | 24944231 | 2022-08-24 12:16:09 | 2023-05-11 19:06:29 |
| ilbsenado.gov.br                  | 000.530.279/0005-49 | SEGDI7     | SEGDI7     | SMM32      |   308334 | 2000-04-11 19:05:15 | 2020-05-05 20:44:16 |
| imbel.gov.br                      | 000.444.232/0001-39 | IMB57      | IMB57      | IMB57      |   263716 | 2000-02-23 13:41:15 | 2020-01-21 16:22:58 |
| imprensanacional.gov.br           | 004.196.645/0001-00 | IMNAC      | IMNAC      | IMNAC      |  4225046 | 2008-02-22 18:21:08 | 2023-06-28 20:52:59 |
| in.gov.br                         | 000.394.494/0016-12 | IMNAC      | IMNAC      | IMNAC      |    22790 | 1996-11-20 11:00:00 | 2023-07-03 18:12:49 |
| inb.gov.br                        | 000.322.818/0020-93 | SEGDI7     | FAM703     | RRBSI16    |    89158 | 1998-03-17 19:26:24 | 2021-03-26 01:26:58 |
| inca.gov.br                       | 000.394.544/0171-50 | RLSDS12    | CHFMA62    | RLSDS12    |   739564 | 2002-02-21 17:19:49 | 2023-10-18 16:23:23 |
| inclusaodigital.gov.br            | 000.394.460/0008-18 | GSISE      | GSISE      | GSISE      |  2269476 | 2005-08-05 20:10:25 | 2021-01-12 11:25:54 |
| incra-pe.gov.br                   | 000.489.828/0001-55 | CGSTM2     | CGSTM2     | CGSTM2     | 24944232 | 2022-08-24 12:16:09 | 2023-05-11 19:06:29 |
| incra.gov.br                      | 000.375.972/0002-41 | TEIIN4     | TEIIN4     | TEIIN4     |    11611 | 1996-07-12 12:00:00 | 2021-03-10 11:11:50 |
| incrarn.gov.br                    | 000.489.828/0001-55 | CGSTM2     | CGSTM2     | CGSTM2     | 24944233 | 2022-08-24 12:16:09 | 2023-05-11 19:06:29 |
| inde.gov.br                       | 033.787.094/0001-40 | ECO        | ECO        | ECO        |  6581510 | 2010-02-23 17:18:01 | 2020-09-04 21:05:03 |
| industria40.gov.br                | 000.394.478/0002-24 | SEGDI7     | COINF90    | COINF90    | 18047317 | 2018-02-21 17:15:03 | 2020-08-28 14:30:18 |
| inep.gov.br                       | 001.678.363/0001-43 | SEGDI7     | SEGDI7     | INP        |        0 | 1995-06-07 12:00:00 | 2020-05-05 20:44:18 |
| ines.gov.br                       | 000.394.445/0273-01 | LCCRI6     | LCCRI6     | LCCRI6     |  3327564 | 2007-01-31 10:12:17 | 2023-07-11 14:36:16 |
| info.gov.br                       | 026.664.015/0001-48 | SEGDI7     | SRBOL6     | GUMSO21    | 12756172 | 2014-04-08 18:09:51 | 2021-08-16 21:37:48 |
| infoconsumo.gov.br                | 000.662.270/0003-20 | CLCTO26    | LFL        | CLCTO26    |   453931 | 2000-10-30 16:12:33 | 2019-12-27 17:21:36 |
| infojus.gov.br                    | 000.531.640/0001-28 | SEGDI7     | SEGDI7     | GASTI6     |   400199 | 2000-08-09 14:21:41 | 2020-05-05 20:44:24 |
| infopen.gov.br                    | 000.489.828/0001-55 | CGSTM2     | CGSTM2     | CGSTM2     | 24944234 | 2022-08-24 12:16:09 | 2023-05-11 19:06:29 |
| informacao.gov.br                 | 026.664.015/0001-48 | SEGDI7     | SRBOL6     | GUMSO21    | 12773610 | 2014-04-08 19:15:07 | 2021-09-14 14:21:54 |
| informacaoecidadania.gov.br       | 000.394.460/0008-18 | GSISE      | GSISE      | GSISE      |  6298645 | 2009-11-24 12:33:07 | 2021-01-12 11:25:54 |
| infoseg.gov.br                    | 000.394.494/0005-60 | MIJUS7     | LERBI17    | MIJUS7     |  1233804 | 2003-06-11 10:41:21 | 2023-05-22 21:49:50 |
| infosoc.gov.br                    | 000.489.828/0001-55 | CGSTM2     | CGSTM2     | CGSTM2     | 24944235 | 2022-08-24 12:16:09 | 2023-05-11 19:06:29 |
| infra-estruturabrasil.gov.br      | 000.394.460/0008-18 | GSISE      | GSISE      | GSISE      |   417422 | 2000-09-01 15:25:16 | 2021-01-12 11:25:54 |
| infraero.gov.br                   | 000.352.294/0001-10 | SEGDI7     | SEGDI7     | GESUP4     |    21425 | 1996-11-05 11:00:00 | 2020-05-05 20:44:20 |
| infraestrutura.gov.br             | 037.115.342/0001-67 | SECDA3     | SECDA3     | SECDA3     | 19155751 | 2019-01-04 18:51:26 | 2022-11-04 00:48:59 |
| infraestruturabrasil.gov.br       | 000.394.460/0008-18 | GSISE      | GSISE      | GSISE      |   411465 | 2000-09-01 15:25:11 | 2021-01-12 11:25:54 |
| infrasa.gov.br                    | 042.150.664/0001-87 | ROXSA14    | ROXSA14    | ROXSA14    | 24792978 | 2022-08-01 12:20:11 | 2023-09-12 16:21:44 |
| infrastructurebrazil.gov.br       | 000.394.460/0008-18 | GSISE      | GSISE      | GSISE      |   411467 | 2000-09-01 15:25:12 | 2021-01-12 11:25:54 |
| inma.gov.br                       | 010.898.596/0010-33 | LEMBI3     | LEMBI3     | HQBFE      | 13289016 | 2014-09-08 14:57:20 | 2022-09-05 17:43:52 |
| inmet.gov.br                      | 000.396.895/0010-16 | RESRO201   | RESRO201   | RESRO201   |        0 | 1996-06-11 12:00:00 | 2022-12-06 20:45:15 |
| inmetro-es.gov.br                 | 000.489.828/0001-55 | CGSTM2     | CGSTM2     | CGSTM2     | 24944236 | 2022-08-24 12:16:09 | 2023-05-11 19:06:29 |
| inmetro-sc.gov.br                 | 000.489.828/0001-55 | CGSTM2     | CGSTM2     | CGSTM2     | 24944237 | 2022-08-24 12:16:09 | 2023-05-11 19:06:29 |
| inmetro.gov.br                    | 000.662.270/0003-20 | CLCTO26    | LFL        | CLCTO26    |     6763 | 1996-04-16 12:00:00 | 2021-12-23 14:35:30 |
| inmetrogo.gov.br                  | 000.662.270/0002-49 | PPBFE1     | RHSAM3     | PPBFE1     |   966348 | 2002-09-27 14:12:12 | 2020-09-29 21:53:51 |
| inova.gov.br                      | 000.394.460/0008-18 | CGSTM2     | CGSTM2     | CGSTM2     | 14237728 | 2015-06-11 19:43:40 | 2022-06-03 15:12:43 |
| inovaif.gov.br                    | 000.489.828/0001-55 | CGSTM2     | CGSTM2     | CGSTM2     | 24944238 | 2022-08-24 12:16:09 | 2023-05-11 19:06:29 |
| inpa.gov.br                       | 001.263.896/0015-60 | HAARO20    | CLOPE46    | HAARO20    |    49011 | 1997-07-28 12:00:00 | 2018-09-12 12:18:35 |
| inpe.gov.br                       | 000.489.828/0001-55 | CGSTM2     | CGSTM2     | CGSTM2     | 24944399 | 2022-08-24 12:24:13 | 2023-05-11 19:06:29 |
| inpi.gov.br                       | 042.521.088/0001-37 | JSN6       | JSN6       | JSN6       |    31664 | 1997-02-28 12:00:00 | 2019-11-14 21:35:57 |
| inpp.gov.br                       | 001.263.896/0038-56 | ALSGA214   | ALSGA214   | ALSGA214   | 26053782 | 2023-04-26 21:11:22 | 2023-04-26 21:11:22 |
| insa.gov.br                       | 001.263.896/0019-93 | OALFI8     | OALFI8     | OALFI8     |  3113287 | 2006-10-23 12:53:35 | 2021-04-03 22:41:49 |
| inss.gov.br                       | 042.422.253/0014-18 | DDA66      | DDT10      | DDC98      |   108377 | 1998-07-27 13:47:15 | 2021-09-21 18:42:42 |
| instantanea.gov.br                | 000.360.305/0655-83 | RMJ35      | GIT60      | GIC166     |   399419 | 2000-08-04 21:17:54 | 2023-05-21 01:20:28 |
| institutochicomendes.gov.br       | 008.829.974/0001-94 | CRC644     | DALSO56    | CRC644     |  8208640 | 2011-04-29 14:52:56 | 2013-04-19 12:32:25 |
| institutodamataatlantica.gov.br   | 010.898.596/0010-33 | LEMBI3     | LEMBI3     | HQBFE      | 13289046 | 2014-09-08 14:57:20 | 2022-09-05 20:49:23 |
| int.gov.br                        | 001.263.896/0004-07 | LFSDI23    | LFSDI23    | LFSDI23    |   123432 | 1998-11-11 16:07:16 | 2022-04-07 17:12:08 |
| integracao.gov.br                 | 003.353.358/0001-96 | MIDRE13    | MIDRE13    | MIDRE13    |   258232 | 2000-02-16 17:16:56 | 2022-05-10 18:42:34 |
| integracaosaofrancisco.gov.br     | 000.489.828/0001-55 | CGSTM2     | CGSTM2     | CGSTM2     | 24944239 | 2022-08-24 12:16:09 | 2023-05-11 19:06:29 |
| interlegis.gov.br                 | 000.530.279/0004-68 | SIT80      | SIT80      | SIT80      |    46196 | 1997-07-07 12:00:00 | 2017-06-27 17:53:59 |
| intervencaofederalrj.gov.br       | 000.394.411/0001-09 | MAR79      | MAR79      | MAR79      | 18653187 | 2018-08-08 14:07:30 | 2018-08-08 14:07:30 |
| investcaixa.gov.br                | 000.360.305/2714-85 | RMJ35      | GIT60      | GIC166     |   650496 | 2001-10-25 19:55:49 | 2023-05-21 01:21:19 |
| investecaixa.gov.br               | 000.360.305/2714-85 | RMJ35      | GIT60      | GIC166     |   650497 | 2001-10-25 19:55:49 | 2023-05-21 01:22:06 |
| investexportbrasil.gov.br         | 000.394.536/0009-96 | SAT7       | SAT7       | SAT7       | 14538608 | 2015-08-31 19:23:23 | 2022-05-25 14:32:21 |
| investexportbrazil.gov.br         | 000.394.536/0009-96 | SAT7       | SAT7       | CTDPR5     | 14641557 | 2015-09-11 14:34:24 | 2022-05-25 14:33:56 |
| investidor.gov.br                 | 029.507.878/0001-08 | CVGTE      | CVGTE      | CVGTE      |  4720366 | 2008-08-01 16:55:20 | 2023-03-14 17:24:51 |
| investidoresinstitucionais.gov.br | 000.360.305/0262-51 | RMJ35      | GIT60      | GIC166     |   689142 | 2001-12-13 13:28:42 | 2015-07-16 21:17:50 |
| investinbrazil.gov.br             | 000.394.460/0008-18 | GSISE      | GSISE      | GSISE      |   288574 | 2000-03-17 18:55:01 | 2021-01-12 11:25:54 |
| invexbrasil.gov.br                | 000.394.536/0009-96 | SAT7       | SAT7       | SAT7       | 14289360 | 2015-06-18 17:46:43 | 2022-05-02 18:48:31 |
| ipardes.gov.br                    | 075.954.891/0001-14 | SEGDI7     | SEGDI7     | ACP108     |        0 | 1996-01-01 12:00:00 | 2020-05-05 20:44:24 |
| ipea.gov.br                       | 033.892.175/0001-00 | THACA263   | CHCDA6     | THACA263   |     7297 | 1996-04-29 12:00:00 | 2023-09-27 19:15:54 |
| ipeadata.gov.br                   | 033.892.175/0001-00 | THACA263   | CHCDA6     | THACA263   |   268063 | 2000-02-25 18:46:36 | 2023-07-25 22:07:42 |
| iphan.gov.br                      | 026.474.056/0001-71 | CII5       | WEIPH      | CII5       |    31478 | 1997-02-26 12:00:00 | 2022-02-02 23:02:32 |
| ipp.gov.br                        | 000.394.544/0056-59 | SEGDI7     | SEGDI7     | JUR8       |   129608 | 1998-12-08 12:29:55 | 2020-05-05 20:44:12 |
| ipsm.gov.br                       | 017.444.779/0001-37 | MTSGO      | MTSGO      | MTSGO      |     6707 | 1996-04-15 12:00:00 | 2020-04-17 21:53:00 |
| irb-brasilre.gov.br               | 033.376.989/0001-91 | SEOCE5     | SEOCE5     | SEOCE5     |  5575493 | 2009-06-16 14:19:39 | 2022-05-10 14:44:56 |
| irb.gov.br                        | 033.376.989/0001-91 | SEOCE5     | SEOCE5     | SEOCE5     |     4611 | 1995-11-27 12:00:00 | 2022-05-10 14:50:34 |
| irbbrasilre.gov.br                | 033.376.989/0001-91 | SEOCE5     | SEOCE5     | SEOCE5     |  5575522 | 2009-06-16 14:35:08 | 2022-05-10 14:55:46 |
| ird.gov.br                        | 000.402.552/0004-79 | MPB207     | VAFDR      | PAFJE14    |     4852 | 1995-12-15 12:00:00 | 2020-04-20 14:29:10 |
| itaipu.gov.br                     | 000.395.988/0014-50 | CEPSA31    | CEPSA31    | CEPSA31    |    18930 | 1996-10-15 11:00:00 | 2022-03-11 22:23:01 |
| itamaraty.gov.br                  | 000.394.536/0006-43 | SAT7       | SAT7       | SAT7       |   141521 | 1999-02-12 11:00:00 | 2022-05-25 14:35:52 |
| iti.gov.br                        | 004.039.532/0001-93 | GIMAR442   | RCDSA1423  | GIMAR442   |   514186 | 2001-02-15 13:23:12 | 2023-08-03 12:43:05 |
| iufro2019.gov.br                  | 000.489.828/0001-55 | CGSTM2     | CGSTM2     | CGSTM2     | 24944240 | 2022-08-24 12:16:09 | 2023-05-11 19:06:29 |
| jbrj.gov.br                       | 037.115.375/0007-00 | WERBR      | MGP95      | WERBR      |    57014 | 1997-09-10 12:00:00 | 2020-11-26 19:48:16 |
| jcdf.gov.br                       | 000.489.828/0001-55 | CGSTM2     | CGSTM2     | CGSTM2     | 24944241 | 2022-08-24 12:16:09 | 2023-05-11 19:06:29 |
| jef-pr.gov.br                     | 005.442.380/0001-38 | ALSIL482   | ALSIL482   | ALSIL482   |  1289165 | 2003-08-05 12:07:46 | 2017-11-24 17:44:32 |
| jef-rs.gov.br                     | 005.442.380/0001-38 | ALSIL482   | ALSIL482   | ALSIL482   |  1289172 | 2003-08-05 12:07:46 | 2017-11-24 17:44:39 |
| jef-sc.gov.br                     | 005.442.380/0001-38 | ALSIL482   | ALSIL482   | ALSIL482   |  1289171 | 2003-08-05 12:07:46 | 2019-01-02 16:14:36 |
| jf.gov.br                         | 000.508.903/0001-88 | RNSLE4     | AJM126     | PMI2       |  1960548 | 2005-01-07 10:29:51 | 2019-07-16 18:37:26 |
| jfal.gov.br                       | 000.508.903/0019-07 | JFA66      | JFA66      | FAC335     |   286462 | 2000-03-17 20:31:23 | 2022-11-16 15:58:53 |
| jfce.gov.br                       | 000.508.903/0016-64 | SEGDI7     | SEGDI7     | GOTLA      |   283761 | 2000-03-13 21:12:29 | 2020-05-05 20:44:14 |
| jfceara.gov.br                    | 005.424.487/0001-53 | SEGDI7     | SEGDI7     | GOTLA      |  1368198 | 2003-09-22 14:18:13 | 2020-05-05 20:44:13 |
| jfes.gov.br                       | 005.424.467/0001-82 | FAVCO2     | ROQBA5     | FAVCO2     |  3637470 | 2007-06-04 17:32:14 | 2019-10-15 17:42:04 |
| jfms.gov.br                       | 000.508.903/0024-74 | SEGDI7     | SEGDI7     | ERC121     |   899650 | 2002-07-16 13:30:52 | 2020-09-16 18:01:05 |
| jfpb.gov.br                       | 000.508.903/0021-21 | SEGDI7     | DNLBA6     | ROXCO2     |   194147 | 1999-09-14 14:14:51 | 2021-06-01 16:55:47 |
| jfpe.gov.br                       | 000.508.903/0014-00 | SEGDI7     | SEGDI7     | MAF1760    |   227076 | 1999-12-07 20:12:37 | 2020-05-05 20:44:19 |
| jfpr.gov.br                       | 005.420.123/0001-03 | JFI3       | JFI3       | JFI3       |   173238 | 1999-07-17 16:48:56 | 2019-06-26 19:33:44 |
| jfrj.gov.br                       | 005.424.540/0001-16 | SUITI      | MAVIN3     | SUITI      |    58721 | 1997-09-19 12:00:00 | 2020-05-04 21:00:29 |
| jfrn.gov.br                       | 000.508.903/0020-40 | FRRRO5     | WESSO3     | FRRRO5     |    80611 | 1998-01-16 12:22:14 | 2020-05-30 13:01:43 |
| jfrs.gov.br                       | 005.442.380/0001-38 | JOCBA271   | ALSIL482   | ALSIL482   |   224620 | 1999-12-14 17:36:02 | 2020-08-19 20:07:59 |
| jfsc.gov.br                       | 005.427.319/0001-11 | MLC166     | MLC166     | PEACO7     |   245517 | 2000-01-27 13:13:23 | 2017-12-19 17:26:05 |
| jfse.gov.br                       | 000.508.903/0018-26 | MMLBA      | SEIJF      | MMLBA      |   134712 | 1999-01-12 20:17:22 | 2021-06-08 22:28:14 |
| jfsp.gov.br                       | 000.508.903/0009-35 | DIARE17    | RCCON18    | DIARE17    |   526406 | 2001-03-16 20:44:33 | 2021-01-25 16:09:50 |
| jmpi2015.gov.br                   | 000.489.828/0001-55 | CGSTM2     | CGSTM2     | CGSTM2     | 24944242 | 2022-08-24 12:16:09 | 2023-05-11 19:06:29 |
